"rt","url","trial_type","trial_index","time_elapsed","internal_node_id","code","turkid","hitid","responses","view_history","answer","reasoning","correct","rating","timedout","key_press","exp_type","domain","question_id","stimulus"
"7879","http://mturk.gershmanlab.webfactional.com/interpretability/turk-experiments/consent_page_clinical.html","html","0","7942","0.0-0.0","91278","","","","","","","","","","","","","",""
"11738","","survey-multi-choice","1","20714","0.0-1.0","91278","","","{""Q0"":""35-50"",""Q1"":""Male"",""Q2"":""Bachelor's"",""Q3"":""US/Canada""}","","","","","","","","","","",""
"58187","","instructions","2","79916","0.0-2.0","91278","","","","[{""page_index"":0,""viewing_time"":3412},{""page_index"":1,""viewing_time"":4141},{""page_index"":2,""viewing_time"":25677},{""page_index"":3,""viewing_time"":24956}]","","","","","","","","","",""
"69157","","survey-multi-choice","3","150083","0.0-3.0-0.0","91278","","","{""Q0"":""No""}","","No","He would have liked just stimulants with antibiotics or just vitamins with laxatives, but he doesn't want stimulants and antibiotics with Vyorix.","true","10","false","","","","",""
"79106","","survey-multi-choice","4","236850","0.0-3.0-1.0","91278","","","{""Q0"":""Yes""}","","No","We gave him the right medications, a combination of antibiotics, laxatives, and painkillers, but Athoxin gives him hiccups which he hates.","false","8","false","","","","",""
"42071","","survey-multi-choice","5","292524","0.0-3.0-2.0","91278","","","{""Q0"":""No""}","","Yes","He will be happy with a tranquilizer (chosen from first condition), antibiotic (chosen from third condition), and laxative (chosen from second condition).","false","3","false","","","","",""
"33446","","survey-multi-choice","6","343484","0.0-4.0-0.0-0.0","91278","","","{""Q0"":""No""}","","Yes","He will be happy with tranquilizers (chosen from first condition) and painkillers (chosen from second condition).","false","3","false","","","","",""
"61230","","survey-multi-choice","7","410676","0.0-4.0-0.0-1.0","91278","","","{""Q0"":""Yes""}","","No","We know he is both fatigued and has a fast heart rate, so he needs either laxatives with stimulants and tranquilizers, just vitamins, or just painkillers. Here, the doctor has recommended laxatives and tranquilizers, but not stimulants, so the alien will be unhappy.","false","3","false","","","","",""
"2789","","text","8","422624","0.0-5.0","91278","","","","","","","","","","83","","","",""
"57958","","survey-multi-choice","9","481586","0.0-6.0-0.0","91278","","","{""Q0"":""No""}","","No","","true","10","false","","gvars","clinical","5.9",""
"82489","","survey-multi-choice","10","571060","0.0-6.0-1.0","91278","","","{""Q0"":""Yes""}","","No","","false","5","false","","gvars","clinical","5.7",""
"35872","","survey-multi-choice","11","616929","0.0-6.0-2.0","91278","","","{""Q0"":""Yes""}","","No","","false","5","false","","gvars","clinical","5.3",""
"41277","","survey-multi-choice","12","663033","0.0-6.0-3.0","91278","","","{""Q0"":""No""}","","Yes","","false","3","false","","gvars","clinical","5.5",""
"48729","","survey-multi-choice","13","716691","0.0-6.0-4.0","91278","","","{""Q0"":""Yes""}","","No","","false","5","false","","gvars","clinical","5.8",""
"-1","","single-stim","14","751355","0.0-7.0","91278","","","","","","","","","","-1","","","","<span id='timer'></span><p>You're halfway through! We'll give you 30 seconds to sit back in your chair and rest before continuing.</p>"
"123960","","survey-multi-choice","15","876326","0.0-8.0-0.0","91278","","","{""Q0"":""No""}","","No","","true","10","false","","gvars","clinical","5.4",""
"44190","","survey-multi-choice","16","925835","0.0-8.0-1.0","91278","","","{""Q0"":""Yes""}","","Yes","","true","10","false","","gvars","clinical","5.6",""
"35881","","survey-multi-choice","17","967264","0.0-8.0-2.0","91278","","","{""Q0"":""No""}","","No","","true","10","false","","gvars","clinical","5",""
"29102","","survey-multi-choice","18","1001061","0.0-8.0-3.0","91278","","","{""Q0"":""Yes""}","","Yes","","true","10","false","","gvars","clinical","5.1",""
"24119","","survey-multi-choice","19","1029621","0.0-8.0-4.0","91278","","","{""Q0"":""Yes""}","","Yes","","true","10","false","","gvars","clinical","5.2",""
