"view_history","rt","trial_type","trial_index","time_elapsed","internal_node_id","code","turkid","hitid","responses","answer","question_id","correct_answer","robot_answer","correct","timedout","key_press","stimulus"
"[{""page_index"":0,""viewing_time"":4341},{""page_index"":1,""viewing_time"":1832}]","6174","instructions","0","6174","0.0-0.0","28719","","","","","","","","","","",""
"","1984","survey-multi-choice","1","9168","0.0-1.0-0.0","28719","","","{""Q0"":""Yes"",""Q1"":""Bad""}","No","16234","Label 0","Label 1","false","false","",""
"","2439","survey-multi-choice","2","13346","0.0-1.0-1.0","28719","","","{""Q0"":""Yes"",""Q1"":""Bad""}","Yes","12299","Label 1","Label 1","true","false","",""
"","2145","survey-multi-choice","3","16691","0.0-1.0-2.0","28719","","","{""Q0"":""Yes"",""Q1"":""Bad""}","No","10807","Label 1","Label 0","false","false","",""
"","1881","survey-multi-choice","4","19765","0.0-1.0-3.0","28719","","","{""Q0"":""Yes"",""Q1"":""Bad""}","No","13450","Label 0","Label 1","false","false","",""
"","2201","survey-multi-choice","5","23160","0.0-1.0-4.0","28719","","","{""Q0"":""Yes"",""Q1"":""Bad""}","Yes","17629","Label 0","Label 0","true","false","",""
"","1549","text","6","25885","0.0-2.0","28719","","","","","","","","","","83",""
"","2227","survey-multi-choice","7","29117","0.0-3.0-0.0","28719","","","{""Q0"":""Yes"",""Q1"":""Bad""}","Yes","17506","Label 0","Label 0","true","false","",""
"","1902","survey-multi-choice","8","32206","0.0-3.0-1.0","28719","","","{""Q0"":""Yes"",""Q1"":""Bad""}","Yes","1456","Label 1","Label 1","true","false","",""
"","1397","survey-multi-choice","9","34798","0.0-3.0-2.0","28719","","","{""Q0"":""Yes"",""Q1"":""Bad""}","No","960","Label 1","Label 0","false","false","",""
"","2107","survey-multi-choice","10","38092","0.0-3.0-3.0","28719","","","{""Q0"":""Yes"",""Q1"":""Bad""}","No","12386","Label 0","Label 1","false","false","",""
"","2188","survey-multi-choice","11","41476","0.0-3.0-4.0","28719","","","{""Q0"":""Yes"",""Q1"":""Bad""}","No","8917","Label 1","Label 0","false","false","",""
"","1262","single-stim","12","73990","0.0-4.0","28719","","","","","","","","","","91","<span id='timer'></span><p>You're halfway through! We'll give you 30 seconds to sit back in your chair and rest before continuing.</p>"
"","82079","survey-multi-choice","13","157744","0.0-5.0-0.0","28719","","","{""Q0"":""Yes"",""Q1"":""Bad""}","No","2026","Label 0","Label 1","false","false","",""
"","9315","survey-multi-choice","14","168831","0.0-5.0-1.0","28719","","","{""Q0"":""Yes"",""Q1"":""Bad""}","Yes","2751","Label 0","Label 0","true","false","",""
"","2864","survey-multi-choice","15","173344","0.0-5.0-2.0","28719","","","{""Q0"":""Yes"",""Q1"":""Bad""}","No","17430","Label 1","Label 0","false","false","",""
"","2900","survey-multi-choice","16","178640","0.0-5.0-3.0","28719","","","{""Q0"":""Yes"",""Q1"":""Bad""}","Yes","1147","Label 1","Label 1","true","false","",""
"","1770","survey-multi-choice","17","181707","0.0-5.0-4.0","28719","","","{""Q0"":""Yes"",""Q1"":""Bad""}","No","6908","Label 1","Label 0","false","false","",""
