"view_history","rt","trial_type","trial_index","time_elapsed","internal_node_id","code","turkid","hitid","key_press","responses","answer","question_id","correct_answer","robot_answer","correct","timedout","stimulus"
"[{""page_index"":0,""viewing_time"":1177},{""page_index"":1,""viewing_time"":1287}]","2466","instructions","0","2467","0.0-0.0","64906","","","","","","","","","","",""
"","1364","text","1","4836","0.0-1.0","64906","","","83","","","","","","","",""
"","12574","survey-multi-choice","2","18418","0.0-2.0-0.0","64906","","","","{""Q0"":""No"",""Q1"":""Good""}","No","118944","Label 0","Label 1","true","false",""
"","8087","survey-multi-choice","3","28615","0.0-2.0-1.0","64906","","","","{""Q0"":""Yes"",""Q1"":""Good""}","Yes","49268","Label 0","Label 0","true","false",""
"","9536","survey-multi-choice","4","40347","0.0-2.0-2.0","64906","","","","{""Q0"":""Yes"",""Q1"":""Good""}","Yes","27444","Label 1","Label 1","true","false",""
"","13779","survey-multi-choice","5","56488","0.0-2.0-3.0","64906","","","","{""Q0"":""No"",""Q1"":""Neutral""}","No","106073","Label 0","Label 1","true","false",""
"","6600","survey-multi-choice","6","65359","0.0-2.0-4.0","64906","","","","{""Q0"":""Yes"",""Q1"":""Good""}","Yes","33619","Label 1","Label 1","true","false",""
"","-1","single-stim","7","97513","0.0-3.0","64906","","","-1","","","","","","","","<span id='timer'></span><p>You're halfway through! We'll give you 30 seconds to sit back in your chair and rest before continuing.</p>"
"","8423","survey-multi-choice","8","106949","0.0-4.0-0.0","64906","","","","{""Q0"":""Yes"",""Q1"":""Good""}","Yes","91982","Label 0","Label 0","true","false",""
"","22135","survey-multi-choice","9","131228","0.0-4.0-1.0","64906","","","","{""Q0"":""Yes"",""Q1"":""Neutral""}","Yes","13683","Label 1","Label 1","true","false",""
"","17773","survey-multi-choice","10","151087","0.0-4.0-2.0","64906","","","","{""Q0"":""No"",""Q1"":""Neutral""}","No","138388","Label 0","Label 1","true","false",""
"","10554","survey-multi-choice","11","163723","0.0-4.0-3.0","64906","","","","{""Q0"":""Yes"",""Q1"":""Good""}","Yes","120561","Label 1","Label 1","true","false",""
"","7404","survey-multi-choice","12","173321","0.0-4.0-4.0","64906","","","","{""Q0"":""No"",""Q1"":""Good""}","No","87702","Label 1","Label 0","true","false",""
