"view_history","rt","trial_type","trial_index","time_elapsed","internal_node_id","code","turkid","hitid","responses","answer","question_id","correct_answer","robot_answer","correct","rating","timedout","key_press","stimulus"
"[{""page_index"":0,""viewing_time"":958},{""page_index"":1,""viewing_time"":8958}]","9916","instructions","0","9916","0.0-0.0","92737","","","","","","","","","","","",""
"","4707","survey-multi-choice","1","15631","0.0-1.0-0.0","92737","","","{""Q0"":""No""}","No","5883","Other Tree Type","Spruce/Fir","true","1","false","",""
"","2052","survey-multi-choice","2","20589","0.0-1.0-1.0","92737","","","{""Q0"":""Yes""}","No","3630","Spruce/Fir","Other Tree Type","false","1","false","",""
"","3211","survey-multi-choice","3","25458","0.0-1.0-2.0","92737","","","{""Q0"":""No""}","No","6723","Other Tree Type","Lodgepole Pine","true","1","false","",""
"","1982","survey-multi-choice","4","28921","0.0-2.0-0.0","92737","","","{""Q0"":""Yes""}","No","8630","Spruce/Fir","Other Tree Type","false","1","false","",""
"","2209","survey-multi-choice","5","32607","0.0-2.0-1.0","92737","","","{""Q0"":""No""}","Yes","6180","Spruce/Fir","Spruce/Fir","false","1","false","",""
"","980","text","6","35417","0.0-3.0","92737","","","","","","","","","","","83",""
"","1958","survey-multi-choice","7","38381","0.0-4.0-0.0","92737","","","{""Q0"":""Yes""}","No","1704","Other Tree Type","Lodgepole Pine","false","1","false","",""
"","1884","survey-multi-choice","8","41901","0.0-4.0-1.0","92737","","","{""Q0"":""No""}","Yes","8389","Other Tree Type","Other Tree Type","false","2","false","",""
"","1787","survey-multi-choice","9","45187","0.0-4.0-2.0","92737","","","{""Q0"":""Yes""}","Yes","9720","Other Tree Type","Other Tree Type","true","1","false","",""
"","1589","survey-multi-choice","10","48304","0.0-4.0-3.0","92737","","","{""Q0"":""No""}","Yes","2526","Other Tree Type","Other Tree Type","false","2","false","",""
"","1765","survey-multi-choice","11","51568","0.0-4.0-4.0","92737","","","{""Q0"":""Yes""}","No","2273","Spruce/Fir","Other Tree Type","false","1","false","",""
"","10469","single-stim","12","83008","0.0-5.0","92737","","","","","","","","","","","91","<span id='timer'></span><p>You're halfway through! We'll give you 30 seconds to sit back in your chair and rest before continuing.</p>"
"","7790","survey-multi-choice","13","91804","0.0-6.0-0.0","92737","","","{""Q0"":""No""}","No","8765","Other Tree Type","Spruce/Fir","true","1","false","",""
"","3484","survey-multi-choice","14","97242","0.0-6.0-1.0","92737","","","{""Q0"":""Yes""}","No","9507","Spruce/Fir","Other Tree Type","false","1","false","",""
"","3039","survey-multi-choice","15","102012","0.0-6.0-2.0","92737","","","{""Q0"":""No""}","No","1265","Spruce/Fir","Other Tree Type","true","2","false","",""
"","2498","survey-multi-choice","16","105979","0.0-6.0-3.0","92737","","","{""Q0"":""Yes""}","Yes","6288","Lodgepole Pine","Lodgepole Pine","true","1","false","",""
"","2034","survey-multi-choice","17","109464","0.0-6.0-4.0","92737","","","{""Q0"":""No""}","No","2253","Other Tree Type","Spruce/Fir","true","1","false","",""
