"view_history","rt","trial_type","trial_index","time_elapsed","internal_node_id","code","turkid","hitid","key_press","responses","answer","question_id","correct_answer","robot_answer","correct","timedout","stimulus"
"[{""page_index"":0,""viewing_time"":1232},{""page_index"":1,""viewing_time"":2491}]","3724","instructions","0","3725","0.0-0.0","90946","","","","","","","","","","",""
"","1226","text","1","5953","0.0-1.0","90946","","","83","","","","","","","",""
"","2483","survey-multi-choice","2","9449","0.0-2.0-0.0","90946","","","","{""Q0"":""No"",""Q1"":""Good""}","No","7553","Label 1","Label 0","true","false",""
"","2328","survey-multi-choice","3","14684","0.0-2.0-1.0","90946","","","","{""Q0"":""No"",""Q1"":""Good""}","No","9093","Label 1","Label 0","true","false",""
"","2824","survey-multi-choice","4","19641","0.0-2.0-2.0","90946","","","","{""Q0"":""No"",""Q1"":""Good""}","No","727","Label 1","Label 0","true","false",""
"","2951","survey-multi-choice","5","24711","0.0-2.0-3.0","90946","","","","{""Q0"":""No"",""Q1"":""Good""}","No","9430","Label 1","Label 0","true","false",""
"","2413","survey-multi-choice","6","29488","0.0-2.0-4.0","90946","","","","{""Q0"":""No"",""Q1"":""Good""}","No","4600","Label 0","Label 1","true","false",""
"","-1","single-stim","7","61317","0.0-3.0","90946","","","-1","","","","","","","","<span id='timer'></span><p>You're halfway through! We'll give you 30 seconds to sit back in your chair and rest before continuing.</p>"
"","5137","survey-multi-choice","8","67464","0.0-4.0-0.0","90946","","","","{""Q0"":""No"",""Q1"":""Good""}","No","7257","Label 0","Label 1","true","false",""
"","2280","survey-multi-choice","9","71907","0.0-4.0-1.0","90946","","","","{""Q0"":""No"",""Q1"":""Good""}","No","2226","Label 0","Label 1","true","false",""
"","2571","survey-multi-choice","10","76367","0.0-4.0-2.0","90946","","","","{""Q0"":""No"",""Q1"":""Good""}","No","5690","Label 1","Label 0","true","false",""
"","2772","survey-multi-choice","11","81093","0.0-4.0-3.0","90946","","","","{""Q0"":""No"",""Q1"":""Good""}","No","8843","Label 0","Label 1","true","false",""
"","3674","survey-multi-choice","12","86798","0.0-4.0-4.0","90946","","","","{""Q0"":""Yes"",""Q1"":""Good""}","No","6945","Label 0","Label 1","false","false",""
