"view_history","rt","trial_type","trial_index","time_elapsed","internal_node_id","code","turkid","hitid","key_press","responses","answer","question_id","correct_answer","robot_answer","correct","timedout","stimulus"
"[{""page_index"":0,""viewing_time"":1168},{""page_index"":1,""viewing_time"":1430}]","2599","instructions","0","2600","0.0-0.0","57511","","","","","","","","","","",""
"","981","text","1","4587","0.0-1.0","57511","","","83","","","","","","","",""
"","2808","survey-multi-choice","2","8409","0.0-2.0-0.0","57511","","","","{""Q0"":""No"",""Q1"":""Good""}","Yes","8843","Label 0","Label 0","false","false",""
"","3673","survey-multi-choice","3","14102","0.0-2.0-1.0","57511","","","","{""Q0"":""No"",""Q1"":""Good""}","Yes","9093","Label 1","Label 1","false","false",""
"","3316","survey-multi-choice","4","19625","0.0-2.0-2.0","57511","","","","{""Q0"":""No"",""Q1"":""Good""}","No","7553","Label 1","Label 0","true","false",""
"","2133","survey-multi-choice","5","23956","0.0-2.0-3.0","57511","","","","{""Q0"":""No"",""Q1"":""Good""}","No","9430","Label 1","Label 0","true","false",""
"","3035","survey-multi-choice","6","29067","0.0-2.0-4.0","57511","","","","{""Q0"":""No"",""Q1"":""Good""}","No","4600","Label 0","Label 1","true","false",""
"","-1","single-stim","7","60965","0.0-3.0","57511","","","-1","","","","","","","","<span id='timer'></span><p>You're halfway through! We'll give you 30 seconds to sit back in your chair and rest before continuing.</p>"
"","105014","survey-multi-choice","8","166989","0.0-4.0-0.0","57511","","","","{""Q0"":""No"",""Q1"":""Good""}","Yes","7257","Label 0","Label 0","false","false",""
"","2484","survey-multi-choice","9","171576","0.0-4.0-1.0","57511","","","","{""Q0"":""No"",""Q1"":""Good""}","Yes","6945","Label 0","Label 0","false","false",""
"","2819","survey-multi-choice","10","176293","0.0-4.0-2.0","57511","","","","{""Q0"":""No"",""Q1"":""Good""}","No","2226","Label 0","Label 1","true","false",""
"","3822","survey-multi-choice","11","181999","0.0-4.0-3.0","57511","","","","{""Q0"":""No"",""Q1"":""Good""}","No","727","Label 1","Label 0","true","false",""
"","3891","survey-multi-choice","12","188108","0.0-4.0-4.0","57511","","","","{""Q0"":""No"",""Q1"":""Good""}","Yes","5690","Label 1","Label 1","false","false",""
