"view_history","rt","trial_type","trial_index","time_elapsed","internal_node_id","code","turkid","hitid","key_press","responses","answer","question_id","correct_answer","robot_answer","correct","timedout","stimulus"
"[{""page_index"":0,""viewing_time"":1615},{""page_index"":1,""viewing_time"":1407}]","3023","instructions","0","3024","0.0-0.0","30096","","","","","","","","","","",""
"","921","text","1","4950","0.0-1.0","30096","","","83","","","","","","","",""
"","2990","survey-multi-choice","2","8951","0.0-2.0-0.0","30096","","","","{""Q0"":""No"",""Q1"":""Good""}","Yes","5025","Label 0","Label 0","false","false",""
"","2628","survey-multi-choice","3","13725","0.0-2.0-1.0","30096","","","","{""Q0"":""No"",""Q1"":""Good""}","Yes","4586","Label 1","Label 1","false","false",""
"","2387","survey-multi-choice","4","18033","0.0-2.0-2.0","30096","","","","{""Q0"":""No"",""Q1"":""Good""}","No","2754","Label 1","Label 0","true","false",""
"","3051","survey-multi-choice","5","23223","0.0-2.0-3.0","30096","","","","{""Q0"":""No"",""Q1"":""Good""}","No","3627","Label 0","Label 1","true","false",""
"","2533","survey-multi-choice","6","27651","0.0-2.0-4.0","30096","","","","{""Q0"":""No"",""Q1"":""Good""}","Yes","5055","Label 1","Label 1","false","false",""
"","-1","single-stim","7","59570","0.0-3.0","30096","","","-1","","","","","","","","<span id='timer'></span><p>You're halfway through! We'll give you 30 seconds to sit back in your chair and rest before continuing.</p>"
"","3679","survey-multi-choice","8","64258","0.0-4.0-0.0","30096","","","","{""Q0"":""No"",""Q1"":""Good""}","No","9286","Label 1","Label 0","true","false",""
"","3090","survey-multi-choice","9","70478","0.0-4.0-1.0","30096","","","","{""Q0"":""No"",""Q1"":""Good""}","No","13","Label 0","Label 1","true","false",""
"","2542","survey-multi-choice","10","74898","0.0-4.0-2.0","30096","","","","{""Q0"":""No"",""Q1"":""Good""}","No","1368","Label 1","Label 0","true","false",""
"","2885","survey-multi-choice","11","79797","0.0-4.0-3.0","30096","","","","{""Q0"":""No"",""Q1"":""Good""}","No","872","Label 0","Label 1","true","false",""
"","3027","survey-multi-choice","12","84757","0.0-4.0-4.0","30096","","","","{""Q0"":""No"",""Q1"":""Good""}","No","7553","Label 0","Label 1","true","false",""
