"view_history","rt","trial_type","trial_index","time_elapsed","internal_node_id","code","turkid","hitid","key_press","responses","answer","question_id","correct_answer","robot_answer","correct","timedout","stimulus"
"[{""page_index"":0,""viewing_time"":1018},{""page_index"":1,""viewing_time"":1279}]","2299","instructions","0","2301","0.0-0.0","60843","","","","","","","","","","",""
"","965","text","1","4268","0.0-1.0","60843","","","83","","","","","","","",""
"","3509","survey-multi-choice","2","8792","0.0-2.0-0.0","60843","","","","{""Q0"":""No"",""Q1"":""Good""}","Yes","2461","Label 1","Label 1","false","false",""
"","7898","survey-multi-choice","3","18766","0.0-2.0-1.0","60843","","","","{""Q0"":""No"",""Q1"":""Good""}","Yes","4402","Label 0","Label 0","false","false",""
"","2134","survey-multi-choice","4","23057","0.0-2.0-2.0","60843","","","","{""Q0"":""No"",""Q1"":""Good""}","Yes","5641","Label 1","Label 1","false","false",""
"","1762","survey-multi-choice","5","26749","0.0-2.0-3.0","60843","","","","{""Q0"":""No"",""Q1"":""Good""}","Yes","3514","Label 1","Label 1","false","false",""
"","3145","survey-multi-choice","6","31882","0.0-2.0-4.0","60843","","","","{""Q0"":""No"",""Q1"":""Good""}","Yes","2940","Label 1","Label 1","false","false",""
"","-1","single-stim","7","63781","0.0-3.0","60843","","","-1","","","","","","","","<span id='timer'></span><p>You're halfway through! We'll give you 30 seconds to sit back in your chair and rest before continuing.</p>"
"","3588","survey-multi-choice","8","68380","0.0-4.0-0.0","60843","","","","{""Q0"":""No"",""Q1"":""Good""}","No","9937","Label 1","Label 0","true","false",""
"","3441","survey-multi-choice","9","73948","0.0-4.0-1.0","60843","","","","{""Q0"":""No"",""Q1"":""Good""}","No","452","Label 0","Label 1","true","false",""
"","4107","survey-multi-choice","10","81090","0.0-4.0-2.0","60843","","","","{""Q0"":""No"",""Q1"":""Good""}","Yes","2734","Label 0","Label 0","false","false",""
"","4912","survey-multi-choice","11","88765","0.0-4.0-3.0","60843","","","","{""Q0"":""No"",""Q1"":""Good""}","Yes","6085","Label 0","Label 0","false","false",""
"","3204","survey-multi-choice","12","94284","0.0-4.0-4.0","60843","","","","{""Q0"":""No"",""Q1"":""Good""}","Yes","5025","Label 0","Label 0","false","false",""
