"view_history","rt","trial_type","trial_index","time_elapsed","internal_node_id","code","turkid","hitid","key_press","responses","answer","question_id","correct_answer","robot_answer","correct","timedout","stimulus"
"[{""page_index"":0,""viewing_time"":1114},{""page_index"":1,""viewing_time"":1336}]","2452","instructions","0","2453","0.0-0.0","69535","","","","","","","","","","",""
"","1120","text","1","4577","0.0-1.0","69535","","","83","","","","","","","",""
"","38143","survey-multi-choice","2","43737","0.0-2.0-0.0","69535","","","","{""Q0"":""Yes"",""Q1"":""Neutral""}","Yes","8326","Label 1","Label 1","true","false",""
"","31139","survey-multi-choice","3","76953","0.0-2.0-1.0","69535","","","","{""Q0"":""Yes"",""Q1"":""Neutral""}","Yes","14086","Label 1","Label 1","true","false",""
"","29878","survey-multi-choice","4","108895","0.0-2.0-2.0","69535","","","","{""Q0"":""No"",""Q1"":""Neutral""}","Yes","17835","Label 0","Label 0","false","false",""
"","30153","survey-multi-choice","5","142103","0.0-2.0-3.0","69535","","","","{""Q0"":""Yes"",""Q1"":""Neutral""}","Yes","582","Label 0","Label 0","true","false",""
"","18188","survey-multi-choice","6","162411","0.0-2.0-4.0","69535","","","","{""Q0"":""Yes"",""Q1"":""Neutral""}","Yes","12344","Label 1","Label 1","true","false",""
"","-1","single-stim","7","195064","0.0-3.0","69535","","","-1","","","","","","","","<span id='timer'></span><p>You're halfway through! We'll give you 30 seconds to sit back in your chair and rest before continuing.</p>"
"","18527","survey-multi-choice","8","214603","0.0-4.0-0.0","69535","","","","{""Q0"":""No"",""Q1"":""Neutral""}","Yes","11619","Label 0","Label 0","false","false",""
"","26731","survey-multi-choice","9","243614","0.0-4.0-1.0","69535","","","","{""Q0"":""No"",""Q1"":""Neutral""}","Yes","478","Label 0","Label 0","false","false",""
"","6302","survey-multi-choice","10","252456","0.0-4.0-2.0","69535","","","","{""Q0"":""No"",""Q1"":""Neutral""}","Yes","232","Label 0","Label 0","false","false",""
"","3613","survey-multi-choice","11","258392","0.0-4.0-3.0","69535","","","","{""Q0"":""No"",""Q1"":""Neutral""}","Yes","6719","Label 1","Label 1","false","false",""
"","3126","survey-multi-choice","12","263866","0.0-4.0-4.0","69535","","","","{""Q0"":""No"",""Q1"":""Neutral""}","No","3351","Label 1","Label 0","true","false",""
