"view_history","rt","trial_type","trial_index","time_elapsed","internal_node_id","code","turkid","hitid","key_press","responses","answer","question_id","correct_answer","robot_answer","correct","timedout","stimulus"
"[{""page_index"":0,""viewing_time"":981},{""page_index"":1,""viewing_time"":1283}]","2265","instructions","0","2266","0.0-0.0","92637","","","","","","","","","","",""
"","1087","text","1","4356","0.0-1.0","92637","","","83","","","","","","","",""
"","40216","survey-multi-choice","2","45583","0.0-2.0-0.0","92637","","","","{""Q0"":""No"",""Q1"":""Neutral""}","Yes","7689","Label 1","Label 1","false","false",""
"","3444","survey-multi-choice","3","51060","0.0-2.0-1.0","92637","","","","{""Q0"":""Yes"",""Q1"":""Bad""}","Yes","8891","Label 0","Label 0","true","false",""
"","2108","survey-multi-choice","4","55248","0.0-2.0-2.0","92637","","","","{""Q0"":""Yes"",""Q1"":""Neutral""}","Yes","16624","Label 0","Label 0","true","false",""
"","2789","survey-multi-choice","5","59980","0.0-2.0-3.0","92637","","","","{""Q0"":""Yes"",""Q1"":""Neutral""}","No","1461","Label 1","Label 0","false","false",""
"","2679","survey-multi-choice","6","64600","0.0-2.0-4.0","92637","","","","{""Q0"":""Yes"",""Q1"":""Neutral""}","Yes","5357","Label 0","Label 0","true","false",""
"","-1","single-stim","7","96503","0.0-3.0","92637","","","-1","","","","","","","","<span id='timer'></span><p>You're halfway through! We'll give you 30 seconds to sit back in your chair and rest before continuing.</p>"
"","3387","survey-multi-choice","8","100900","0.0-4.0-0.0","92637","","","","{""Q0"":""No"",""Q1"":""Neutral""}","Yes","9079","Label 1","Label 1","false","false",""
"","2608","survey-multi-choice","9","105738","0.0-4.0-1.0","92637","","","","{""Q0"":""No"",""Q1"":""Neutral""}","Yes","3488","Label 0","Label 0","false","false",""
"","2788","survey-multi-choice","10","110422","0.0-4.0-2.0","92637","","","","{""Q0"":""No"",""Q1"":""Neutral""}","Yes","8535","Label 0","Label 0","false","false",""
"","2618","survey-multi-choice","11","114923","0.0-4.0-3.0","92637","","","","{""Q0"":""No"",""Q1"":""Neutral""}","No","4618","Label 1","Label 0","true","false",""
"","3582","survey-multi-choice","12","120354","0.0-4.0-4.0","92637","","","","{""Q0"":""No"",""Q1"":""Neutral""}","Yes","7418","Label 0","Label 0","false","false",""
